symbol,timestamp,open,high,low,close,volume
AAPL,2026-03-10 09:30:00,150.0,150.14,149.75,149.85,21883
TSLA,2026-03-10 09:30:00,650.0,650.0,648.28,648.33,29685
AAPL,2026-03-10 09:31:00,149.85,149.98,149.66,149.97,25301
TSLA,2026-03-10 09:31:00,648.33,653.85,648.14,653.83,40054
AAPL,2026-03-10 09:32:00,149.97,150.25,149.94,150.1,13383
TSLA,2026-03-10 09:32:00,653.83,654.84,653.72,654.78,34205
AAPL,2026-03-10 09:33:00,150.1,150.19,150.03,150.12,48784
TSLA,2026-03-10 09:33:00,654.78,654.8,653.47,653.53,12933
AAPL,2026-03-10 09:34:00,150.12,150.27,149.99,150.04,49670
TSLA,2026-03-10 09:34:00,653.53,653.57,650.08,650.16,13984
AAPL,2026-03-10 09:35:00,150.04,150.2,149.62,149.71,20313
TSLA,2026-03-10 09:35:00,650.16,651.45,650.11,651.41,10606
AAPL,2026-03-10 09:36:00,149.71,149.82,149.47,149.53,38127
TSLA,2026-03-10 09:36:00,651.41,651.48,651.27,651.46,17074
TSLA,2026-03-10 09:37:00,651.46,653.22,651.33,653.22,20241
AAPL,2026-03-10 09:37:00,149.53,149.64,149.31,149.55,44021
TSLA,2026-03-10 09:38:00,653.22,654.55,653.19,654.53,5812
AAPL,2026-03-10 09:38:00,149.55,149.63,149.19,149.4,17673
TSLA,2026-03-10 09:39:00,654.53,655.5,654.47,655.37,37583
AAPL,2026-03-10 09:39:00,149.4,149.56,149.01,149.16,18418
TSLA,2026-03-10 09:40:00,655.37,655.42,654.26,654.36,43238
AAPL,2026-03-10 09:40:00,149.16,149.29,149.07,149.1,34219
AAPL,2026-03-10 09:41:00,149.1,149.19,149.09,149.13,12376
TSLA,2026-03-10 09:41:00,654.36,658.02,654.32,657.93,7865
AAPL,2026-03-10 09:42:00,149.13,149.35,148.93,149.22,6911
TSLA,2026-03-10 09:42:00,657.93,659.62,657.78,659.55,25114
AAPL,2026-03-10 09:43:00,149.22,149.36,148.89,149.02,39901
TSLA,2026-03-10 09:43:00,659.55,659.58,657.59,657.62,36741
AAPL,2026-03-10 09:44:00,149.02,149.24,148.98,149.18,34101
TSLA,2026-03-10 09:44:00,657.62,657.69,656.38,656.45,47883
TSLA,2026-03-10 09:45:00,656.45,656.48,656.39,656.41,9363
AAPL,2026-03-10 09:45:00,149.18,149.32,148.83,148.91,16452
AAPL,2026-03-10 09:46:00,148.91,148.99,148.78,148.85,7653
TSLA,2026-03-10 09:46:00,656.41,656.45,652.26,652.33,7560
TSLA,2026-03-10 09:47:00,652.33,655.0,652.29,655.0,25179
AAPL,2026-03-10 09:47:00,148.85,149.02,148.83,148.97,33127
AAPL,2026-03-10 09:48:00,148.97,149.0,148.95,148.99,9910
TSLA,2026-03-10 09:48:00,655.0,657.18,654.9,657.01,39830
TSLA,2026-03-10 09:49:00,657.01,658.39,657.0,658.24,31830
AAPL,2026-03-10 09:49:00,148.99,149.42,148.97,149.38,49370
AAPL,2026-03-10 09:50:00,149.38,149.51,149.37,149.38,13026
TSLA,2026-03-10 09:50:00,658.24,658.37,656.11,656.32,21951
AAPL,2026-03-10 09:51:00,149.38,149.45,148.79,148.99,6452
TSLA,2026-03-10 09:51:00,656.32,656.34,655.91,655.95,9564
AAPL,2026-03-10 09:52:00,148.99,149.08,148.93,149.01,30375
TSLA,2026-03-10 09:52:00,655.95,656.62,655.86,656.55,27647
TSLA,2026-03-10 09:53:00,656.55,656.56,656.44,656.52,32674
AAPL,2026-03-10 09:53:00,149.01,149.2,148.95,149.18,14294
TSLA,2026-03-10 09:54:00,656.52,658.5,656.43,658.32,16495
AAPL,2026-03-10 09:54:00,149.18,149.25,149.13,149.18,5625
TSLA,2026-03-10 09:55:00,658.32,658.47,658.29,658.42,48046
AAPL,2026-03-10 09:55:00,149.18,149.23,148.81,148.93,18094
AAPL,2026-03-10 09:56:00,148.93,149.21,148.92,149.12,8688
TSLA,2026-03-10 09:56:00,658.42,658.42,656.19,656.3,39369
TSLA,2026-03-10 09:57:00,656.3,656.34,655.99,656.07,5796
AAPL,2026-03-10 09:57:00,149.12,149.45,149.05,149.41,18322
AAPL,2026-03-10 09:58:00,149.41,149.44,148.98,149.04,28382
TSLA,2026-03-10 09:58:00,656.07,656.13,654.88,655.05,37017
TSLA,2026-03-10 09:59:00,655.05,655.14,653.13,653.19,27112
AAPL,2026-03-10 09:59:00,149.04,149.08,148.89,148.99,16768
TSLA,2026-03-10 10:00:00,653.19,654.76,653.18,654.71,37164
AAPL,2026-03-10 10:00:00,148.99,149.14,148.86,148.93,23648
AAPL,2026-03-10 10:01:00,148.93,149.14,148.83,149.08,12146
TSLA,2026-03-10 10:01:00,654.71,654.72,653.44,653.48,18248
AAPL,2026-03-10 10:02:00,149.08,149.26,148.99,149.25,39558
TSLA,2026-03-10 10:02:00,653.48,653.52,653.23,653.27,13277
AAPL,2026-03-10 10:03:00,149.25,149.65,149.23,149.54,49726
TSLA,2026-03-10 10:03:00,653.27,657.24,653.25,657.2,26544
TSLA,2026-03-10 10:04:00,657.2,657.27,655.76,655.84,34540
AAPL,2026-03-10 10:04:00,149.54,149.54,149.18,149.27,14417
AAPL,2026-03-10 10:05:00,149.27,149.35,149.02,149.03,19652
TSLA,2026-03-10 10:05:00,655.84,655.89,655.52,655.7,47936
TSLA,2026-03-10 10:06:00,655.7,658.42,655.68,658.31,22508
AAPL,2026-03-10 10:06:00,149.03,149.15,148.86,148.86,20851
AAPL,2026-03-10 10:07:00,148.86,149.23,148.79,149.12,29115
TSLA,2026-03-10 10:07:00,658.31,661.33,658.22,661.28,30176
AAPL,2026-03-10 10:08:00,149.12,149.41,149.09,149.21,48716
TSLA,2026-03-10 10:08:00,661.28,661.34,660.43,660.46,11359
AAPL,2026-03-10 10:09:00,149.21,149.47,149.18,149.4,23447
